Sample Name,Sample ID,Waste Stream Source,Year collected,Analyst,Size,Method,Analysis date,pH,pH stdev,LOI,%LOI stdev,Mg (%),Mg (stdev),Mg Abs. Error ( %),Al (%),Al (stdev),Al Abs. Error ( %),Si (%),Si (stdev),Si Abs. Error ( %),P (%),P (stdev),P Abs. Error ( %),S (%),S (stdev),S Abs. Error ( %),Cl (%),Cl (stdev),Cl Abs. Error ( %),K (%),K (stdev),K Abs. Error ( %),Ca (%),Ca (stdev), Ca Abs. Error ( %),Ti (ug/g),Ti (stdev),Ti Abs. Error ( ug/g),V (ug/g),V (stdev),V Abs. Error ( ug/g),Cr (ug/g),Cr (stdev),Cr  Abs. Error ( ug/g),Mn (ug/g),Mn (stdev),Mn  Abs. Error ( ug/g),Fe (%),Fe (stdev),Fe  Abs. Error ( ug/g),Co (ug/g),Co (stdev),Co Abs. Error ( ug/g),Ni (ug/g),Ni (stdev),Ni Abs. Error ( ug/g), Cu (ug/g),Cu (stdev),Cu Abs. Error ( ug/g),Zn (ug/g),Zn (stdev),Zn Abs. Error ( ug/g),As (ug/g),As (stdev),As Abs. Error ( ug/g),Br (ug/g),Br (stdev),Br Abs. Error ( ug/g),Rb (ug/g),Rb (stdev),Rb Abs. Error ( ug/g), Sr (ug/g),Sr (stdev),Sr Abs. Error ( ug/g),Pb (ug/g),Pb (stdev),Pb Abs. Error ( ug/g)
comp city 2006 1.1,Boston City Compost 2006,Municipal ,2006,Pre2018,BULK,Tqk59304,2/18/2011,6.72,,38.42,,0.29,,0.01,2.29,,0.01,13.41,,0.02,0.27,,0,0.33,,0,0.02,,0,0.9,,0.01,3.2,,0.01,1943,,14,< 19,,-15,69.7,,5.8,799,,11,1.66,,0,< 16,,-11,18.6,,1.1,79.6,,1.7,331.6,,2.5,< 4.2,,-1.4,5.9,,0.3,42.6,,0.5,156.6,,0.8,250.3,,2.1
comp city 2006 1.2,Boston City Compost 2006,Municipal ,2006,Pre2018,BULK,Tqk59304,2/18/2011,6.72,,34.69,,0.29,,0.01,2.21,,0.01,12.37,,0.02,0.27,,0,0.34,,0,0.01,,0,0.87,,0.01,3.41,,0.01,1841,,14,28.5,,5.7,61.6,,5.7,861,,11,1.68,,0,17.5,,4.5,20.3,,1.1,72.1,,1.6,362.4,,2.6,< 4.3,,-3.5,6.4,,0.3,42.7,,0.5,161.3,,0.8,265,,2.1
Comp city 2006 1.3,Boston City Compost 2006,Municipal ,2006,Pre2018,BULK,Tqk59304,2/18/2011,6.86,,33.7,,0.33,0.02,0.01,2.2,,0.01,12.52,,0.02,0.27,,0,0.34,,0,0.01,,0,0.86,0.02,0.01,3.34,0.11,0.01,1789,78.34,13,18.9,6.79,4.6,63.2,4.29,5.7,785,40.45,11,1.64,0.02,0,18.8,0.92,4.6,19.7,0.86,1.2,79.7,4.36,1.7,330.7,18.05,2.5,< 4.1,#DIV/0!,-1.7,5.9,0.29,0.3,42,0.38,0.5,153.3,4.02,0.8,244.8,10.44,2.1
comp city 2008 1.1,Boston City Compost 2008,Municipal ,2008,Pre2018,BULK,Tqk59304,2/18/2011,7.13,,27.66,,0.26,,0.01,3.2,,0.01,17.33,,0.02,0.3,,0,0.32,,0,0.05,,0,1.19,,0.01,3.27,,0.01,2484,,17,31.5,,6.9,74.7,,6.5,818,,12,2.06,,0.01,< 19,,-13,26.4,,1.3,134.2,,2.3,419.4,,3,< 4.9,,-1.3,6.6,,0.3,48.6,,0.5,171,,0.9,303.4,,2.5
Comp city 2008 1.2,Boston City Compost 2008,Municipal ,2008,Pre2018,BULK,Tqk59304,2/18/2011,7.13,,28.34,,0.32,,0.01,2.8,,0.01,14.58,,0.02,0.3,,0,0.36,,0,0.06,,0,1.08,,0.01,3.86,,0.01,2259,,16,< 22,,-16,77.2,,6.4,877,,12,1.96,,0,18.4,,4.9,26.5,,1.3,163.1,,2.4,457.9,,3.1,< 5.1,,-1.3,7.2,,0.3,46,,0.5,171.4,,0.9,328.1,,2.5
comp city 2008 1.3,Boston City Compost 2008,Municipal ,2008,Pre2018,BULK,Tqk59304,2/18/2011,6.55,,28.5,,0.34,0.04,0.01,2.94,0.2,0.01,14.99,1.48,0.02,0.31,0,0,0.35,0.02,0,0.05,0,0,1.14,0.06,0.01,3.75,0.31,0.01,2317,116.82,16,< 22,#DIV/0!,-18,90.4,8.44,6.7,877,34.06,12,2.04,0.05,0.01,19.4,0.71,5.1,29.3,1.65,1.4,134.7,16.54,2.2,441.5,19.32,3.1,< 5.0,#DIV/0!,0,7,0.31,0.3,48.1,1.38,0.5,171.1,0.21,0.9,317.2,12.38,2.5
BU P1 A1,,Municipal ,2009,Pre2018,BULK,Tqk59306,6/29/2009,6.34,,65.5,,0.27,,0.01,0.99,,0.01,6.88,,0.01,0.21,,0,0.34,,0,0.02,,0,0.39,,0,3.88,,0.01,1236,,10,0,,-12,37.7,,4.2,704.3,,8.7,0.78,,0,< 10,,-8.8,10.9,,0.8,37.3,,1,270.3,,1.9,< 3.2,,0,8,,0.2,22.7,,0.3,161.6,,0.7,191,,1.6
BU P1 A2,,Municipal ,2009,Pre2018,BULK,Tqk59306,6/29/2009,5.27,,64.1,,0.29,,0.01,1.16,,0.01,6.62,,0.01,0.22,,0,0.32,,0,0.02,,0,0.41,,0,3.29,,0.01,1012,,9,19.3,,3.7,40.8,,4.2,713.8,,8.7,0.9,,0,< 10,,-8.4,12.7,,0.8,38.4,,1,262.8,,1.9,< 3.3,,0,7.1,,0.2,24.1,,0.3,141.4,,0.7,201.9,,1.6
BU P1 A3,,Municipal ,2009,Pre2018,BULK,Tqk59306,6/29/2009,6.12,,61.4,,0.26,,0.01,0.95,,0.01,6.18,,0.01,0.19,,0,0.34,,0,0.01,,0,0.28,,0,4.01,,0.01,824.4,,8,0,,-10,43.8,,4.2,747.2,,8.9,0.74,,0,12.1,,3,10.2,,0.8,45.8,,1.1,329.1,,2.1,< 3.5,,-2.7,56.3,,0.5,24.3,,0.4,166.9,,0.7,231.6,,1.7
BU P1 A4,,Municipal ,2009,Pre2018,BULK,Tqk59306,6/29/2009,6.87,,61.9,,0.33,,0.01,1.02,,0.01,6.54,,0.01,0.22,,0,0.31,,0,0.02,,0,0.53,,0,3.98,,0.01,847,,8.4,0,,-11,51.2,,4.6,664.2,,8.8,0.93,,0,9.9,,3.1,13.9,,0.9,51.5,,1.2,298.5,,2.1,3.1,,0.6,7.3,,0.2,22.1,,0.4,162.4,,0.7,218.9,,1.7
BU P1 A5,,Municipal ,2009,Pre2018,BULK,Tqk59306,6/29/2009,6.46,,68.9,,0.25,,0.01,0.85,,0,5.3,,0.01,0.18,,0,0.31,,0,0.01,,0,0.26,,0,3.89,,0.01,721.6,,7.3,< 11,,-6.3,41.4,,4.1,755.7,,8.7,0.68,,0,10.9,,2.8,9.9,,0.8,44.6,,1.1,325.7,,2,< 3.3,,-0.9,8,,0.2,18.2,,0.3,173.8,,0.7,212.2,,1.6
BU P1 A6,,Municipal ,2009,Pre2018,BULK,Tqk59306,6/29/2009,7.11,,64.2,,0.35,0.04,0.01,1.12,0.11,0.01,6.57,0.56,0.01,0.21,0.02,0,0.32,0.01,0,0.01,0.01,0,0.5,0.11,0,3.77,0.27,0.01,931.6,179.9,8.7,15.6,9.65,3.2,47.7,4.94,4.4,641.8,44.91,8.4,0.91,0.11,0,10.1,1,3,13.6,1.76,0.9,54.8,6.94,1.2,285.9,27.74,2,< 3.5,#DIV/0!,-1.4,6,20.03,0.2,21.7,2.21,0.3,148.3,12.03,0.7,218.5,14.26,1.7
BU P1 B1,,Municipal ,2009,Pre2018,BULK,Tqk59306,6/29/2009,,,,,0.31,,0.01,0.89,,0.01,5.4,,0.01,0.14,,0,0.26,,0,0.02,,0,0.44,,0,3.82,,0.01,786.3,,7.8,< 12,,-7.7,48.4,,4.2,461.2,,7.1,0.86,,0,< 9.8,,-6.6,10.6,,0.8,41.4,,1.1,197.5,,1.6,< 3.0,,-2,3.8,,0.2,18.2,,0.3,135.3,,0.6,168.4,,1.5
BU P1 B2,,Municipal ,2009,Pre2018,BULK,Tqk59306,6/29/2009,7.19,,65.5,,0.28,,0.01,1.14,,0.01,6.55,,0.01,0.18,,0,0.27,,0,0.08,,0,0.71,,0,3.59,,0.01,985.5,,8.8,< 13,,-6.5,50.8,,4.4,491.7,,7.4,1.09,,0,11.2,,3.2,12.2,,0.8,46.9,,1.2,212.9,,1.8,< 3.4,,0,3.6,,0.2,21.2,,0.3,137.5,,0.7,214.5,,1.7
BU P1 B3,,Municipal ,2009,Pre2018,BULK,Tqk59306,6/29/2009,,,,,0.38,,0.01,1.18,,0.01,6.01,,0.01,0.23,,0,0.26,,0,0.08,,0,0.87,,0,3.64,,0.01,1518,,11,< 15,,-6.2,55.5,,4.5,512.3,,7.7,1.07,,0,< 11,,-9.7,14.6,,0.9,50.2,,1.2,244.5,,1.9,3.2,,0.6,5.1,,0.2,22.5,,0.3,142.7,,0.7,193.5,,1.6
BU P1 B4,,Municipal ,2009,Pre2018,BULK,Tqk59306,6/29/2009,6.73,,67.5,,0.43,,0.01,0.92,,0.01,6.16,,0.01,0.26,,0,0.35,,0,0.01,,0,0.38,,0,4.18,,0.01,828.4,,8.1,< 12,,-11,55.1,,4.5,722.1,,8.8,0.71,,0,14.4,,3.2,12.2,,0.8,40.5,,1.1,302.9,,2,4.3,,0.7,9.9,,0.2,21.3,,0.3,175.6,,0.7,193.8,,1.6
p1 B5,,Municipal ,2009,Pre2018,BULK,Tqk59306,7/1/2009,6.3,,60.6,,0.44,,0.01,0.99,,0.01,6.2,,0.01,0.24,,0,0.35,,0,0.01,,0,0.51,,0,4.02,,0.01,885.3,,8.2,< 12,,-5.4,31.6,,4,679.3,,8.5,0.75,,0,11.2,,2.9,10.8,,0.8,40.6,,1.1,291.1,,2,< 3.3,,-2.1,9.5,,0.2,21.7,,0.3,170.5,,0.7,198.5,,1.6
p1 B6,,Municipal ,2009,Pre2018,BULK,Tqk59306,7/1/2009,,,,,0.37,0.06,0.01,1.19,0.14,0.01,6.78,0.48,0.01,0.22,0.04,0,0.31,0.04,0,0.03,0.03,0,0.78,0.2,0,3.81,0.22,0.01,1128,272.14,10,17,#DIV/0!,3.6,54.9,9.16,4.6,590.1,106.36,8.3,1.07,0.17,0,< 11,1.85,-6.4,12.6,1.44,0.9,48.1,4.29,1.2,483.2,103.98,2.6,< 3.5,0.78,-2.5,8,2.84,0.2,23.8,1.86,0.3,158,17.33,0.7,217.8,17.77,1.7
p2 S1,,Municipal ,2009,Pre2018,BULK,Tqk59306,7/1/2009,,,,,0.37,,0.01,2.54,,0.01,15.62,,0.02,0.32,,0,0.4,,0,0.1,,0,1.16,,0.01,3.79,,0.01,1671,,14,41,,6.5,77.9,,6.5,794,,11,1.82,,0,< 17,,-14,20.6,,1.2,79.1,,1.8,316.2,,2.6,8,,1.1,5.1,,0.3,45.6,,0.5,129.7,,0.8,203.5,,2
p2 S2,,Municipal ,2009,Pre2018,BULK,Tqk59306,7/1/2009,,,,,0.54,0.12,0.01,1.8,0.52,0.01,9.52,4.32,0.01,0.32,0,0,0.4,0,0,0.13,0.02,0,0.99,0.12,0.01,3.83,0.03,0.01,1383,203.65,11,41.4,0.28,6,55.9,15.56,5.3,769,17.68,10,1.58,0.17,0,< 15,#DIV/0!,-5,19.2,0.99,1.1,58.1,14.85,1.4,360.1,31.04,2.5,5.2,1.98,0.9,6.7,1.13,0.3,30.7,10.54,0.4,152.3,15.98,0.8,234.4,21.85,2
wendy1.1,,Municipal ,2010,Pre2018,BULK,Tqk59306,5/10/2012,5.23,,65.5,,0.31,,0.01,1.13,,0.01,6.76,,0.01,0.14,,0,0.3,,0,0.15,,0,0.75,,0,2.63,,0.01,978.3,,8.9,17,,3.4,53.9,,4.4,399.3,,6.8,0.77,,0,14.4,,3.2,12.9,,0.8,38.4,,1,240.1,,1.8,5.5,,0.8,5.6,,0.2,19.7,,0.3,99.8,,0.6,165.7,,1.4
wendy1.2,,Municipal ,2010,Pre2018,BULK,Tqk59306,5/10/2012,5.2,,76.5,,0.29,,0.01,1.27,,0.01,7.82,,0.01,0.15,,0,0.3,,0,0.15,,0,0.75,,0,2.56,,0.01,1102,,10,< 13,,-9.6,51.9,,4.4,408.5,,7,0.78,,0,14.4,,3.2,13.9,,0.8,38.9,,1.1,249.7,,1.9,5.8,,0.8,5.9,,0.2,20.4,,0.3,99.7,,0.6,173.2,,1.5
wendy1.3,,Municipal ,2010,Pre2018,BULK,Tqk59306,5/10/2012,5.17,,71.2,,0.27,,0.01,1.5,,0.01,8.41,,0.01,0.17,,0,0.32,,0,0.16,,0,0.88,,0,2.7,,0.01,1557,,12,< 16,,-11,52.8,,4.7,440.8,,7.6,0.91,,0,11.2,,3.3,12.8,,0.9,41.1,,1.1,240.2,,1.9,6,,0.8,5.7,,0.2,26.3,,0.4,109.6,,0.6,167.4,,1.5
wendy2.1,,Municipal ,2010,Pre2018,BULK,Tqk59306,5/10/2012,5.04,,71.6,,0.33,,0.01,1.16,,0.01,6.67,,0.01,0.14,,0,0.28,,0,0.15,,0,0.73,,0,2.52,,0.01,988.7,,9,< 12,,-10,51.2,,4.3,406.4,,6.8,0.77,,0,11.7,,2.9,12.4,,0.8,32.4,,1,218.5,,1.7,5.4,,0.7,5.3,,0.2,19.9,,0.3,101.1,,0.6,158.4,,1.4
wendy2.2,,Municipal ,2010,Pre2018,BULK,Tqk59306,5/10/2012,5.04,,71.1,,0.31,,0.01,1.16,,0.01,6.46,,0.01,0.14,,0,0.27,,0,0.14,,0,0.7,,0,2.38,,0.01,831.7,,7.9,14.9,,3,53.4,,4.1,378.5,,6.3,0.67,,0,11.1,,2.8,11,,0.7,34.5,,1,222.6,,1.7,5.8,,0.7,5.7,,0.2,16.9,,0.3,98.4,,0.5,164.6,,1.4
wendy2.3,,Municipal ,2010,Pre2018,BULK,Tqk59306,5/10/2012,5.08,,77.5,,0.42,0.06,0.02,1.27,0.14,0.01,7.32,0.76,0.01,0.15,0.01,0,0.32,0.02,0,0.18,0.01,0,0.81,0.06,0,2.72,0.13,0.01,1511,301.43,12,< 16,1.48,0,53.8,1.09,4.7,414.1,20.31,7.3,0.75,0.08,0,12.8,1.52,3.2,11.8,1,0.8,32.8,3.6,1,225.2,12.33,1.9,5.6,0.22,0.8,5.5,0.2,0.2,19.6,3.11,0.3,100.3,4.07,0.6,168.5,4.89,1.6
bag#3.1,,Municipal ,2010,Pre2018,BULK,Tqk59306,5/9/2012,5.68,,64.2,,0.48,,0.02,1.36,,0.01,8.12,,0.01,0.21,,0,0.33,,0,0.17,,0,0.85,,0,3.37,,0.01,1037,,10,< 14,,-4.8,55.3,,4.6,521.1,,8.2,0.84,,0,13.4,,3.4,10.8,,0.9,51.5,,1.2,284.2,,2.1,4,,0.7,7,,0.2,21.4,,0.3,132.8,,0.7,165.7,,1.5
bag#3.2,,Municipal ,2010,Pre2018,BULK,Tqk59306,5/9/2012,5.98,,73.3,,0.48,,0.02,1.32,,0.01,8.14,,0.01,0.2,,0,0.34,,0,0.16,,0,0.84,,0,3.31,,0.01,970.8,,9.3,< 14,,-12,47.2,,4.6,498,,8,0.83,,0,13.5,,3.4,9.8,,0.8,46,,1.2,257.2,,2,2.9,,0.6,6.7,,0.2,22.4,,0.4,144.4,,0.7,162.6,,1.5
bag#3.3,,Municipal ,2010,Pre2018,BULK,Tqk59306,5/9/2012,5.68,,63.4,,0.46,,0.02,1.32,,0.01,7.84,,0.01,0.2,,0,0.31,,0,0.16,,0,0.84,,0,3.44,,0.01,929.4,,9.2,< 13,,-6.8,56.7,,4.8,537.4,,8.3,0.85,,0,15,,3.5,11.7,,0.9,45.6,,1.2,281.2,,2.1,5.1,,0.8,6.5,,0.2,23.6,,0.4,133.8,,0.7,170.2,,1.6
bag3#2,,Municipal ,2010,Pre2018,BULK,Tqk59306,5/10/2012,6.08,,72.8,,0.68,,0.02,1.31,,0.01,8.28,,0.01,0.25,,0,0.37,,0,0.27,,0,1.05,,0.01,3.53,,0.01,993.8,,9.8,< 14,,0,52,,4.8,587.8,,8.9,0.82,,0,12.2,,3.4,13.4,,0.9,41.7,,1.2,328.5,,2.3,4.2,,0.7,9.3,,0.3,22.1,,0.4,138.7,,0.7,207.9,,1.7
bag3#3,,Municipal ,2010,Pre2018,BULK,Tqk59306,5/10/2012,5.98,,69.4,,0.57,0.09,0.02,1.42,0.04,0.01,9.09,0.47,0.02,0.23,0.02,0,0.34,0.02,0,0.28,0.06,0,1.05,0.11,0.01,3.35,0.09,0.01,1106,67.47,10,< 15,#DIV/0!,0,55.9,3.91,4.9,549.8,33.55,8.7,0.8,0.02,0,13,1.02,3.4,11.5,1.32,0.9,39.6,4.57,1.1,297.2,26.08,2.2,6.7,1.42,0.9,9.1,1.36,0.3,20.1,1.29,0.4,135.3,4.7,0.7,199.7,20.99,1.7
bag#4.1,,Municipal ,2010,Pre2018,BULK,Tqk59306,5/9/2012,6.47,,63.7,,0.42,,0.01,1.13,,0.01,6.59,,0.01,0.23,,0,0.34,,0,0.04,,0,0.42,,0,3.62,,0.01,860.5,,8,< 12,,-5.8,40.1,,4,572.5,,7.8,0.8,,0,9.7,,2.8,9.7,,0.8,41.2,,1.1,287,,1.9,< 3.2,,-0.7,6.7,,0.2,20.4,,0.3,153.6,,0.7,195.4,,1.6
bag#4.2,,Municipal ,2010,Pre2018,BULK,Tqk59306,5/9/2012,6.48,,65.5,,0.43,,0.01,1.03,,0.01,6.32,,0.01,0.22,,0,0.33,,0,0.03,,0,0.41,,0,3.49,,0.01,759.3,,7.5,13.7,,2.7,39,,4,620.5,,8.1,0.83,,0,10.1,,2.8,9,,0.8,39.2,,1,313.2,,2,< 3.1,,0,7.1,,0.2,19.5,,0.3,158.2,,0.7,195.2,,1.6
bag#4.3,,Municipal ,2010,Pre2018,BULK,Tqk59306,5/9/2012,6.33,,58.3,,0.44,,0.01,1.05,,0.01,6.71,,0.01,0.22,,0,0.34,,0,0.04,,0,0.42,,0,3.61,,0.01,764.6,,7.7,< 11,,-5.7,43.4,,4.1,596.1,,8.1,0.81,,0,< 9.6,,-7.5,11.2,,0.8,41.3,,1.1,298.3,,2,3,,0.6,6.6,,0.2,18.8,,0.3,154.5,,0.7,182.9,,1.5
bag4#1,,Municipal ,2010,Pre2018,BULK,Tqk59306,5/9/2012,6.09,,67.2,,0.53,,0.02,1.29,,0.01,6.42,,0.01,0.33,,0,0.41,,0,0.04,,0,0.45,,0,3.88,,0.01,846.9,,8.2,< 12,,-8.8,43.2,,4.3,699.3,,8.9,0.89,,0,9.7,,2.9,11.3,,0.8,41.5,,1.1,379.6,,2.3,2.9,,0.6,7.5,,0.2,18.6,,0.3,171.4,,0.7,205.1,,1.6
bag4#2,,Municipal ,2010,Pre2018,BULK,Tqk59306,5/9/2012,6.24,,65.2,,0.58,,0.02,1.29,,0.01,7.08,,0.01,0.33,,0,0.42,,0,0.04,,0,0.5,,0,4.09,,0.01,973.4,,9.2,20,,3.7,48.5,,4.6,758.6,,9.6,1.19,,0,16.6,,3.9,13.3,,0.9,42.3,,1.2,379.3,,2.4,4.6,,0.8,7.1,,0.2,23.1,,0.4,155.7,,0.7,215.4,,1.8
bag4#3,,Municipal ,2010,Pre2018,BULK,Tqk59306,5/9/2012,6.22,,67.3,,0.6,0.08,0.02,1.23,0.11,0.01,6.82,0.28,0.01,0.33,0.06,0,0.42,0.05,0,0.04,0.01,0,0.47,0.03,0,4.08,0.26,0.01,995.3,100.31,9.2,< 13,4.45,-8.9,52.9,5.27,4.6,744,79.32,9.4,0.94,0.15,0,12.3,2.95,3.3,12.8,1.68,0.9,43.6,1.45,1.2,382.4,45.11,2.4,3.4,0.78,0.6,7.2,0.33,0.2,24.1,2.32,0.4,165.7,7.14,0.7,215.8,12.91,1.7
Jar1-1,,Municipal ,2010,Pre2018,BULK,Tqk59306,2/19/2010,4.93,,74.7,,0.31,,0.01,1.12,,0.01,6.61,,0.01,0.15,,0,0.29,,0,0.16,,0,0.85,,0,2.81,,0.01,1065,,10,< 14,,0,51.5,,4.5,429.1,,7.4,0.8,,0,15.2,,3.3,12.3,,0.8,42.3,,1.1,250.4,,1.9,5.4,,0.8,6.5,,0.2,21,,0.3,104.3,,0.6,182.4,,1.6
Jar1-2,,Municipal ,2010,Pre2018,BULK,Tqk59306,2/19/2010,4.85,,76.6,,0.26,,0.01,1.03,,0.01,5.79,,0.01,0.13,,0,0.28,,0,0.14,,0,0.77,,0,2.78,,0.01,916.5,,8.8,< 12,,-7.5,55.3,,4.5,420.3,,7.2,0.81,,0,12.1,,3.1,13.8,,0.8,44.5,,1.1,251.5,,1.9,7.1,,0.8,6.1,,0.2,21.4,,0.3,101,,0.6,173.7,,1.5
Jar1-3,,Municipal ,2010,Pre2018,BULK,Tqk59306,2/19/2010,4.94,,74,,0.27,0.03,0.01,1.02,0.06,0.01,6.08,0.42,0.01,0.13,0.01,0,0.28,0.01,0,0.16,0.01,0,0.79,0.04,0,2.71,0.05,0.01,977.6,74.64,9.1,< 13,#DIV/0!,0,54.6,2.02,4.5,408.6,10.28,7.1,0.77,0.02,0,17,2.48,3.3,14,0.93,0.8,41.4,1.59,1.1,242.3,5.02,1.9,6.3,0.85,0.8,6.3,0.2,0.2,18.6,1.51,0.3,98,3.15,0.6,171.2,5.88,1.5
