Sample Name,Waste Stream Source,Year collected,Size,Method,Analysis date,pH,pH stdev,LOI,%LOI stdev,Mg (%),Mg (stdev),Mg Abs. Error ( %),Al (%),Al (stdev),Al Abs. Error ( %),Si (%),Si (stdev),Si Abs. Error ( %),P (%),P (stdev),P Abs. Error ( %),S (%),S (stdev),S Abs. Error ( %),Cl (%),Cl (stdev),Cl Abs. Error ( %),K (%),K (stdev),K Abs. Error ( %),Ca (%),Ca (stdev), Ca Abs. Error ( %),Ti (ug/g),Ti (stdev),Ti Abs. Error ( ug/g),V (ug/g),V (stdev),V Abs. Error ( ug/g),Cr (ug/g),Cr (stdev),Cr  Abs. Error ( ug/g),Mn (ug/g),Mn (stdev),Mn  Abs. Error ( ug/g),Fe (%),Fe (stdev),Fe  Abs. Error ( ug/g),Co (ug/g),Co (stdev),Co Abs. Error ( ug/g),Ni (ug/g),Ni (stdev),Ni Abs. Error ( ug/g), Cu (ug/g),Cu (stdev),Cu Abs. Error ( ug/g),Zn (ug/g),Zn (stdev),Zn Abs. Error ( ug/g),As (ug/g),As (stdev),As Abs. Error ( ug/g),Br (ug/g),Br (stdev),Br Abs. Error ( ug/g),Rb (ug/g),Rb (stdev),Rb Abs. Error ( ug/g), Sr (ug/g),Sr (stdev),Sr Abs. Error ( ug/g),Pb (ug/g),Pb (stdev),Pb Abs. Error ( ug/g)
dimock #1 A2,Loam Mix,2011,BULK,Tqk59304,40849,8,,30.62,,0.33,,0.01,3.87,,0.01,15.22,,0.02,0.46,,0,0.31,,0,0.04,,0,1.13,,0.01,2.23,,0.01,2775,,17,30.4,,6.9,81.1,,6.3,605.1,,9.9,1.82,,0,19,,4.8,30.6,,1.3,77.6,,1.7,203.9,,2,6.6,,0.9,7.8,,0.3,48.4,,0.5,140.4,,0.8,165.1,,1.7
dimock #1 A3,Loam Mix,2011,BULK,Tqk59304,40849,8,,30.43,,0.36,,0.01,3.98,,0.01,15.25,,0.02,0.47,,0,0.32,,0,0.04,,0,1.15,,0.01,2.29,,0.01,2752,,17,36.3,,7.4,86,,6.4,597,,9.9,1.92,,0,16.8,,4.7,29,,1.3,77.7,,1.7,219.7,,2.1,6.1,,0.9,8.5,,0.3,46.8,,0.5,145.2,,0.8,162.3,,1.8
Dimock #1 A1,Loam Mix,2011,BULK,Tqk59304,40849,8,,26.64,,0.32,0.02,0.01,4.01,0.07,0.01,16.08,0.49,0.02,0.47,0.01,0,0.3,0.01,0,0.04,0,0,1.16,0.01,0.01,2.12,0.09,0.01,2794,21.03,17,33.7,2.96,7.2,81.7,2.67,6.5,593,6.16,10,2.01,0.09,0,< 18,1.56,-13,26.2,2.23,1.3,75.1,1.47,1.7,198.1,11.18,2.1,6.9,0.4,1,7.4,0.56,0.3,51.3,2.28,0.5,147.7,3.71,0.8,153.8,5.88,1.7
Dimock #2 A1,Loam Mix,2011,BULK,Tqk59304,40849,8,,35.65,,0.4,,0.01,3.87,,0.01,14.98,,0.02,0.5,,0,0.36,,0,0.02,,0,1.13,,0.01,2.49,,0.01,2775,,17,21.8,,5.9,67.5,,6.1,610,,10,1.81,,0,18.4,,4.8,25.3,,1.3,64.8,,1.6,210,,2.1,7.6,,1,8.8,,0.3,49.8,,0.5,137.4,,0.8,141.1,,1.6
Dimock #2 A2,Loam Mix,2011,BULK,Tqk59304,40849,8,,34.3,,0.4,,0.01,4.26,,0.01,16.87,,0.02,0.53,,0,0.37,,0,0.02,,0,1.23,,0.01,2.54,,0.01,2900,,18,< 24,,-21,81,,6.6,628,,10,1.96,,0,20,,5.3,27.4,,1.4,64.3,,1.6,210.7,,2.2,7.2,,1,8.7,,0.3,49.5,,0.5,149.4,,0.8,148.1,,1.7
Dimock #2 A3,Loam Mix,2011,BULK,Tqk59304,40849,8,,35.15,,0.41,0.01,0.01,4.22,0.22,0.01,17.14,1.18,0.02,0.53,0.02,0,0.37,0,0,0.03,0,0,1.29,0.08,0.01,2.42,0.06,0.01,2998,111.77,19,31.8,7.07,7.4,243.3,97.83,8.8,608,11.02,11,2.01,0.11,0.01,20.8,1.22,5.4,30.5,2.62,1.4,58.3,3.62,1.6,189.3,12.16,2.1,3.6,2.2,0.8,7.9,0.49,0.3,52.7,1.77,0.6,144.5,6.03,0.8,147.4,3.86,1.8
RH West #1 A1,Loam Mix,2011,BULK,Tqk59304,40821,7,,27.32,,0.23,,0.01,4.23,,0.01,17.13,,0.02,0.42,,0,0.24,,0,0.01,,0,1.07,,0.01,1.94,,0.01,3070,,18,27.7,,7,87.9,,6.7,619,,10,2.13,,0.01,22.3,,5.4,34.1,,1.5,92.2,,1.9,227,,2.2,5.5,,0.9,7.9,,0.3,53.9,,0.6,149.1,,0.8,220.4,,2.1
RH West #1 A2,Loam Mix,2011,BULK,Tqk59304,40821,7,,20.17,,0.23,,0.01,4.3,,0.01,17.37,,0.02,0.42,,0,0.25,,0,0.01,,0,1.08,,0.01,1.84,,0.01,2899,,18,23.8,,6.3,87.1,,6.8,538.2,,9.7,2.05,,0,25.9,,5.7,32.5,,1.4,80.3,,1.8,212.5,,2.1,7,,1,7.7,,0.3,51.9,,0.5,134.8,,0.8,196.8,,1.9
RH West #1 A3,Loam Mix,2011,BULK,Tqk59304,40821,7,,17.57,,0.27,0.02,0.01,4.63,0.21,0.01,18.2,0.56,0.02,0.45,0.02,0,0.28,0.02,0,0.01,0,0,1.15,0.04,0.01,2.07,0.12,0.01,3125,117.86,19,30.1,3.18,7.4,89.2,1.06,7,651,58.13,11,2.12,0.04,0.01,20.4,2.79,5.5,33.3,0.8,1.5,74.4,9.07,1.8,211,8.84,2.2,6.9,0.84,1,7.4,0.25,0.3,67.2,8.32,0.6,152.9,9.54,0.9,197.3,13.48,2
Rocky Hill 1.1,Loam Mix,2015,BULK,,,,,,,0.982,,0.014,6.079,,0.016,24.55,,0.03,0.3663,,0.0018,0.2591,,0.001,0.02009,,0.001,1.718,,0.009,1.762,,0.008,3296,,21,< 27,,-11,96.4,,7.8,528,,12,2.28,,0.006,30.4,,8.1,64.9,,2.3,55.2,,2,152.5,,2.4,< 3.2,,-2.5,7.7,,0.3,77.3,,0.8,142.1,,1,158.8,,2.2
Rocky Hill1.2,Loam Mix,2015,BULK,,,,,,,0.966,,0.014,6.269,,0.016,22.88,,0.03,0.3875,,0.0018,0.2888,,0.0011,0.01361,,0.0011,1.643,,0.009,2.307,,0.009,3398,,22,53,,11,110.2,,8.2,561,,12,2.493,,0.006,39.9,,8.9,64.4,,2.3,51.6,,1.9,172.1,,2.5,< 3.3,,-1.6,7.9,,0.3,72.9,,0.8,154.1,,1,164.1,,2.2
Rocky Hill1.3,Loam Mix,2015,BULK,,,,,,,1.012,,0.014,5.916,,0.015,22.76,,0.03,0.3869,,0.0018,0.2871,,0.0011,0.01509,,0.0011,1.582,,0.008,1.999,,0.008,3588,,22,< 27,,-20,120.4,,8,541,,12,2.377,,0.006,35.1,,8.4,63.4,,2.2,47.1,,1.8,150.7,,2.3,3.2,,0.9,7.3,,0.3,70.4,,0.7,156.8,,1,149.8,,2.1
RH-2016-03,Loam Mix,2016,BULK,Geochemistry Traces cups 60 F (A2),6/9/2021 12:40,,,66.18,,0.3856,,0.0097,1.931,,0.005,10.94,,0.01,0.5906,,0.001,0.422,,0.0006,0.3166,,0.0003,1.907,,0.001,2.768,,0.001,2231,,2,41.6,,0.8,32.6,,0.2,435.1,,0.4,2.023,,0.002,0,,0,25.4,,0.5,50.7,,0.5,184.5,,0.6,5.9,,0.3,10.4,,0.1,52,,0.1,137.4,,0.2,101.2,,0.4
RH-2016-02,Loam Mix,2016,BULK,Geochemistry Traces cups 60 F (A2),6/9/2021 12:19,,,62.46,,0.4972,,0.01,2.268,,0.006,12.04,,0.01,0.6208,,0.001,0.4495,,0.0006,0.3528,,0.0004,2.175,,0.001,3.215,,0.001,2327,,2,42.8,,0.9,41.7,,0.2,516.6,,0.5,2.031,,0.002,0,,0,27.1,,0.5,52.4,,0.5,190.2,,0.7,7.5,,0.3,10.6,,0.1,50.5,,0.1,135.9,,0.2,96,,0.5
RH-2016-01,Loam Mix,2016,BULK,Geochemistry Traces cups 60 F (A2),6/9/2021 11:57,,,67.87,,0.3601,,0.0094,1.936,,0.005,10.21,,0.01,0.5594,,0.0009,0.3879,,0.0005,0.2922,,0.0003,1.843,,0.001,2.669,,0.001,2282,,2,38.4,,0.8,31.9,,0.2,462.6,,0.4,1.933,,0.001,0,,0,24.6,,0.5,49.1,,0.5,182,,0.6,6.6,,0.3,10.4,,0.1,50.5,,0.1,135.6,,0.2,91.2,,0.4
RH-2017-03A:B,Loam Mix,2017,BULK,Geochemistry Traces cups 60 F (A2),4/18/2021 14:49,,,72.6,,0.3735,,0.0093,1.522,,0.004,8.004,,0.006,0.5599,,0.0009,0.388,,0.0005,0.3206,,0.0003,1.729,,0.001,2.711,,0.001,1561,,1,27.4,,0.6,63.7,,0.2,421.2,,0.4,1.714,,0.001,0,,0,25.7,,0.5,50.2,,0.4,177.7,,0.6,6.5,,0.3,11,,0.1,40.9,,0.1,122,,0.2,86,,0.4
RH-2017-02,Loam Mix,2017,BULK,Geochemistry Traces cups 60 F (A2),4/18/2021 14:27,,,71.15,,0.3634,,0.0095,1.523,,0.005,8.505,,0.006,0.5768,,0.0009,0.3966,,0.0005,0.341,,0.0003,1.77,,0.001,3.043,,0.001,1869,,2,32.7,,0.7,34.2,,0.2,410.9,,0.4,1.739,,0.001,0,,0,25.9,,0.5,52.2,,0.5,181,,0.6,7.2,,0.3,11.2,,0.1,41.4,,0.1,124.7,,0.2,88.3,,0.4
RH-2017-01,Loam Mix,2017,BULK,Geochemistry Traces cups 60 F (A2),4/18/2021 14:06,,,70.79,,0.4078,,0.0095,1.538,,0.005,8.623,,0.006,0.5787,,0.0009,0.3982,,0.0005,0.3319,,0.0003,1.724,,0.001,3.102,,0.001,1697,,1,30.5,,0.7,36.6,,0.2,398.4,,0.4,1.791,,0.001,0,,0,26.6,,0.5,51.1,,0.5,179.9,,0.6,7,,0.3,11.1,,0.1,42.1,,0.1,126.7,,0.2,88.7,,0.4
RH-2018-03,Loam Mix,2018,BULK,Geochemistry Traces cups 60 F (A2),4/18/2021 15:53,,,54.31,,0.5127,,0.0096,3.123,,0.006,17.38,,0.01,0.4707,,0.0009,0.278,,0.0005,0.1637,,0.0002,1.889,,0.001,2.393,,0.001,3103,,2,58.2,,1,52.5,,0.2,505.1,,0.5,2.279,,0.002,0,,0,24.2,,0.6,38.6,,0.5,145.1,,0.6,10,,0.3,6.2,,0.1,68.7,,0.2,145.6,,0.2,92,,0.5
RH-2018-02,Loam Mix,2018,BULK,Geochemistry Traces cups 60 F (A2),4/18/2021 15:31,,,63.69,,0.323,,0.0086,2.355,,0.005,14.01,,0.01,0.3819,,0.0007,0.2117,,0.0004,0.1251,,0.0002,1.387,,0.001,1.863,,0.001,2446,,2,55.4,,0.8,36.2,,0.2,389.3,,0.4,2.017,,0.001,8,,2.4,23.8,,0.5,34.1,,0.4,137.5,,0.5,7.1,,0.3,6.8,,0.1,56.8,,0.1,149.2,,0.2,103.7,,0.4
RH-2018-01,Loam Mix,2018,BULK,Geochemistry Traces cups 60 F (A2),4/18/2021 15:10,,,59.21,,0.3912,,0.0093,2.635,,0.006,15.78,,0.01,0.4239,,0.0008,0.2461,,0.0004,0.1474,,0.0002,1.505,,0.001,2.105,,0.001,2911,,2,55.8,,0.9,42.6,,0.2,483.2,,0.4,2.23,,0.002,8.3,,2.7,25.1,,0.5,37.6,,0.4,146.7,,0.6,7.4,,0.3,7,,0.1,56.7,,0.2,151.1,,0.2,107.9,,0.5
RH-2019-03,Loam Mix,2019,BULK,Geochemistry Traces cups 60 F (A2),4/18/2021 16:57,,,65.65,,0.3251,,0.0086,2.366,,0.005,12.35,,0.01,0.4499,,0.0008,0.2667,,0.0004,0.1091,,0.0002,1.519,,0.001,2.138,,0.001,2389,,2,55.2,,0.8,39.1,,0.2,411.3,,0.4,1.898,,0.001,5.3,,2.4,19,,0.5,44.6,,0.4,155.9,,0.6,8.7,,0.3,6.8,,0.1,52.2,,0.1,129.7,,0.2,115.5,,0.5
RH-2019-02,Loam Mix,2019,BULK,Geochemistry Traces cups 60 F (A2),4/18/2021 16:36,,,65.03,,0.3382,,0.009,2.497,,0.006,12.15,,0.01,0.507,,0.0009,0.2936,,0.0005,0.121,,0.0002,1.541,,0.001,2.364,,0.001,2311,,2,57.4,,0.8,43.9,,0.2,430.8,,0.4,1.989,,0.001,6.1,,2.5,19.1,,0.5,47.4,,0.5,160.6,,0.6,10,,0.3,7.1,,0.1,52.5,,0.1,132,,0.2,116.3,,0.5
RH-2019-01,Loam Mix,2019,BULK,Geochemistry Traces cups 60 F (A2),4/18/2021 16:14,,,64.49,,0.3496,,0.0092,2.492,,0.006,12.57,,0.01,0.4942,,0.0009,0.2984,,0.0005,0.1326,,0.0002,1.519,,0.001,2.322,,0.001,2380,,2,56.8,,0.8,44.4,,0.2,437.3,,0.4,1.951,,0.001,5,,2.5,20.4,,0.5,46,,0.5,158.3,,0.6,10.1,,0.3,6.9,,0.1,52.4,,0.1,130.4,,0.2,115.8,,0.5
BE 1.1,Compost,2016,BULK,,,,,,,0.69,,0.013,3.38,,0.012,11.19,,0.02,1.25,,0.003,0.43,,0.0012,0.12,,0.0004,0.97,,0.006,10.1,,0.02,2728,,21,32.5,,8.2,63.4,,7,723,,14,1.91,,0.006,20.8,,7,33.6,,1.7,51.9,,2,162.1,,2.4,< 2.9,,-2.2,12.5,,0.4,45.7,,0.6,166.8,,1.1,110.2,,1.9
BE 1.2,Compost,2016,BULK,,,,,,,0.69,,0.013,3.33,,0.012,11.13,,0.02,1.23,,0.003,0.43,,0.0012,0.11,,0.0004,0.96,,0.0061,10.18,,0.02,2719,,21,< 27,,-21,54.4,,6.8,730,,15,1.89,,0.006,23.4,,7.2,36.3,,1.7,65.5,,2.2,170.1,,2.5,< 2.9,,-2.2,13.3,,0.4,45,,0.6,158.7,,1.1,110.1,,1.9
BE 1.3,Compost,2016,BULK,,,,,,,0.72,,0.013,3.64,,0.012,11.6,,0.02,1.18,,0.003,0.42,,0.0012,0.12,,0.0004,1.02,,0.006,9.51,,0.017,2887,,21,33.5,,8.5,62.6,,7,737,,15,2.07,,0.006,32.8,,8.1,33.2,,1.8,48,,2,165.4,,2.4,4.2,,1,13.8,,0.4,46,,0.6,161.3,,1.1,104.4,,1.9
BE Green House 3,Compost,2021,BULK,Geochemistry Traces cups 60 F (A2),10/14/2021 18:12,,,61.96,,0.4548,,0.0095,2.814,,0.006,13.71,,0.01,0.3618,,0.0008,0.2223,,0.0004,0.1463,,0.0002,2.058,,0.001,1.953,,0.001,2658,,2,46.7,,0.8,33.6,,0.2,469.2,,0.4,2.142,,0.002,0,,0,18.6,,0.5,25.4,,0.4,117.5,,0.5,8.4,,0.2,11.9,,0.1,65.9,,0.2,119.3,,0.2,50.9,,0.4
BE Green House 2,Compost,2021,BULK,Geochemistry Traces cups 60 F (A2),10/14/2021 17:50,,,64.67,,0.3667,,0.0089,2.574,,0.006,12.99,,0.01,0.3398,,0.0007,0.2014,,0.0004,0.1312,,0.0002,1.871,,0.001,1.773,,0.001,2070,,2,36.7,,0.7,28.3,,0.2,406.7,,0.4,1.948,,0.001,0,,0,16.9,,0.5,24.6,,0.4,111.7,,0.5,7.5,,0.2,11.5,,0.1,64,,0.2,114.3,,0.2,48.2,,0.3
BE Green House 1,Compost,2021,BULK,Geochemistry Traces cups 60 F (A2),10/14/2021 17:29,,,65.65,,0.3832,,0.0082,2.29,,0.005,13.03,,0.01,0.2362,,0.0006,0.1088,,0.0003,0.08204,,0.00016,1.304,,0.001,1.828,,0.001,2581,,2,54.5,,0.8,25,,0.2,373.8,,0.4,2.248,,0.001,56.7,,2.5,14,,0.5,23.7,,0.4,90.9,,0.5,5.6,,0.2,8.4,,0.1,47.3,,0.1,139.9,,0.2,35.7,,0.3
BE Langdon St 3,Compost,2021,BULK,Geochemistry Traces cups 60 F (A2),10/14/2021 17:08,,,64.45,,0.4119,,0.009,2.592,,0.006,12.71,,0.01,0.3986,,0.0008,0.2061,,0.0004,0.02746,,0.00011,1.711,,0.001,2.271,,0.001,1923,,2,40.7,,0.7,50.3,,0.2,437,,0.4,1.949,,0.001,7,,2.5,15.5,,0.5,26.6,,0.4,123.2,,0.5,8.6,,0.2,9.5,,0.1,58,,0.2,130.8,,0.2,53.6,,0.4
BE Langdon St 2,Compost,2021,BULK,Geochemistry Traces cups 60 F (A2),10/14/2021 16:46,,,64.63,,0.3545,,0.0084,2.422,,0.005,13.09,,0.01,0.3854,,0.0007,0.1783,,0.0004,0.02087,,0.00009,1.681,,0.001,2.126,,0.001,2011,,2,48.7,,0.7,37.7,,0.2,442.7,,0.4,1.921,,0.001,0,,0,14,,0.5,26,,0.4,120.1,,0.5,7.7,,0.2,8.8,,0.1,57.6,,0.1,125.8,,0.2,53.3,,0.4
BE Langdon St 1,Compost,2021,BULK,Geochemistry Traces cups 60 F (A2),10/14/2021 16:25,,,66.02,,0.3707,,0.0086,2.342,,0.005,11.61,,0.01,0.5631,,0.0009,0.1933,,0.0004,0.02427,,0.0001,1.532,,0.001,2.713,,0.001,1824,,2,35.1,,0.7,27.6,,0.2,432.5,,0.4,1.925,,0.001,9.6,,2.4,15.1,,0.5,26.4,,0.4,121.5,,0.5,8.4,,0.2,9.3,,0.1,57.9,,0.1,127.2,,0.2,53.7,,0.4
BE BULK 1,Compost,2022,BULK,Geochemistry Traces cups 60 F (A2),4/22/2022 18:33,,,59.79,,0.4077,,0.008,3.16,,0.007,13.49,,0.01,0.5783,,0.001,0.3135,,0.0005,0.2905,,0.0003,2.306,,0.001,2.837,,0.001,2085,,2,37.6,,0.9,33,,0.2,511.8,,0.5,1.9,,0.002,0,,0,20.7,,0.5,28.4,,0.4,131.5,,0.6,7.2,,0.2,10.8,,0.1,55.1,,0.2,113.2,,0.2,49.1,,0.4
BE BULK 2,Compost,2022,BULK,Geochemistry Traces cups 60 F (A2),4/22/2022 18:55,,,64.49,,0.3697,,0.0093,2.448,,0.006,12.46,,0.01,0.4143,,0.0008,0.2587,,0.0005,0.233,,0.0003,2.127,,0.001,2.287,,0.001,1890,,2,41.7,,0.8,30.9,,0.2,516.9,,0.5,1.827,,0.001,0,,0,18.8,,0.5,27.9,,0.4,133.9,,0.5,7.2,,0.2,11.3,,0.1,56.4,,0.2,118.2,,0.2,51.6,,0.4
BE BULK 3,Compost,2022,BULK,Geochemistry Traces cups 60 F (A2),4/22/2022 19:16,,,64.82,,0.4007,,0.0095,2.359,,0.006,12.44,,0.01,0.4102,,0.0008,0.2511,,0.0004,0.2162,,0.0003,2.067,,0.001,2.175,,0.001,2064,,2,42.6,,0.8,31.5,,0.2,476.5,,0.4,1.878,,0.001,0,,0,18.4,,0.5,28.4,,0.4,134.9,,0.5,7.1,,0.2,11.4,,0.1,57.9,,0.2,116.9,,0.2,51.1,,0.4
TFP BE 1,Compost,2022,BULK,Geochemistry Traces cups 60 F (A2),6/13/2022 17:50,,,45.48,,1.28,,0.01,4.605,,0.006,19.44,,0.01,0.2096,,0.0006,0.209,,0.0004,0.1184,,0.0002,2.043,,0.001,1.709,,0.001,2344,,2,37.9,,0.7,26.5,,0.2,386.2,,0.4,1.964,,0.001,6.6,,2.5,15.1,,0.5,22.6,,0.4,108.9,,0.5,7.4,,0.3,11.3,,0.1,69.5,,0.2,126.4,,0.2,87.6,,0.4
TFP BE 2,Compost,2022,BULK,Geochemistry Traces cups 60 F (A2),6/13/2022 18:11,,,36.85,,1.274,,0.01,5.175,,0.007,23.42,,0.01,0.2377,,0.0006,0.2113,,0.0004,0.09477,,0.00018,2.289,,0.001,1.931,,0.001,2531,,2,31.5,,0.8,33.1,,0.2,421.9,,0.4,2.284,,0.002,0,,5,18.8,,0.5,24.2,,0.4,109.7,,0.5,8,,0.2,12.9,,0.1,80.3,,0.2,122.4,,0.2,54.6,,0.4
TFP BE 3 ,Compost,2022,BULK,Geochemistry Traces cups 60 F (A2),6/13/2022 18:33,,,45.72,,1.437,,0.011,4.572,,0.006,19.26,,0.01,0.2188,,0.0006,0.1946,,0.0004,0.1069,,0.0002,1.969,,0.001,1.757,,0.001,2997,,2,32.9,,0.8,38.2,,0.2,424.1,,0.4,2.044,,0.001,6.5,,2.5,17.9,,0.5,23.8,,0.4,117.1,,0.5,8.4,,0.2,13.7,,0.1,70.4,,0.2,124.3,,0.2,54.4,,0.4
HH BE 1,Loam Mix,2022,BULK,Geochemistry Traces cups 60 F (A2),6/13/2022 18:54,,,54.52,,1.333,,0.01,3.493,,0.005,14.9,,0.01,0.2555,,0.0006,0.2087,,0.0003,0.1619,,0.0002,1.585,,0.001,2.213,,0.001,2975,,2,34.9,0.8,1.3,19.3,,0.2,435,,0.4,2.13,,0.001,19.3,,2.5,11.3,,0.5,24.3,,0.4,123.2,,0.5,5.8,,0.2,9.7,,0.1,47.7,,0.1,155.8,,0.2,47.9,,0.3
HH BE 2,Loam Mix,2022,BULK,Geochemistry Traces cups 60 F (A2),6/13/2022 19:16,,,51.61,,1.027,,0.01,3.624,,0.005,16.65,,0.01,0.4029,,0.0007,0.173,,0.0003,0.133,,0.0002,1.852,,0.001,2.408,,0.001,2789,,2,24.2,0.8,1.4,20.7,,0.2,391.4,,0.4,1.735,,0.001,8.3,,2.3,12.2,,0.5,20.2,,0.3,125.4,,0.5,6.3,,0.2,10,,0.1,65.6,,0.2,117.7,,0.2,58.1,,0.4
HH BE 3,Loam Mix,2022,BULK,Geochemistry Traces cups 60 F (A2),6/13/2022 19:37,,,60.12,,0.9563,,0.009,3.015,,0.005,12.99,,0.01,0.2313,,0.0005,0.1952,,0.0003,0.2415,,0.0002,1.644,,0.001,2.63,,0.001,1646,,1,31,0.6,1.1,19.4,,0.2,308.3,,0.3,1.531,,0.001,93.3,,2.1,9.3,,0.5,26,,0.4,117.1,,0.5,6.1,,0.2,11.1,,0.1,49.8,,0.1,132.4,,0.2,48.8,,0.3
BB 18 Long #1 A1,Loam Mix,2011,BULK,Tqk59304,40821,7,,14.29,,0.22,,0.01,6.34,,0.02,22.11,,0.03,0.23,,0,0.1,,0,0.03,,0,1.37,,0.01,1.48,,0.01,4572,,24,57,,11,97.1,,7.6,605,,11,2.77,,0.01,32.1,,6.9,22.5,,1.4,35.6,,1.4,108.5,,1.7,5,,0.9,8.8,,0.3,64.2,,0.6,165.4,,0.9,108.5,,1.7
BB 18 Long #1 A2,Loam Mix,2011,BULK,Tqk59304,10/5/2011,6.79,,13.46,,0.22,,0.01,6.14,,0.02,21.17,,0.03,0.23,,0,0.1,,0,0.03,,0,1.26,,0.01,1.42,,0.01,4209,,23,60,,11,95.4,,7.3,605,,11,2.67,,0.01,< 22,,-19,23.1,,1.4,38.3,,1.4,111.2,,1.7,5.6,,0.9,9.3,,0.3,58.9,,0.6,154.1,,0.9,104.3,,1.6
BB 18 Long #1 A3,Loam Mix,2011,BULK,Tqk59304,10/5/2011,6.79,,16.06,,0.22,0,0.01,6.07,0.14,0.02,20.65,0.74,0.03,0.21,0.01,0,0.08,0.01,0,0.03,0,0,1.29,0.06,0.01,1.34,0.07,0.01,4161,224.72,22,48,6.24,10,78.8,10.11,6.9,601,2.31,11,2.61,0.08,0.01,< 22,#DIV/0!,-18,21.1,1.03,1.4,38.3,1.56,1.4,113.7,2.6,1.7,7.3,1.19,0.9,9.1,0.25,0.3,59.9,2.82,0.6,154.9,6.31,0.9,102,3.3,1.6
