Sample Name,Waste Stream Source,Year collected,Size,Method,Analysis date,pH,pH stdev,LOI,%LOI stdev,Mg (%),Mg (stdev),Mg Abs. Error ( %),Al (%),Al (stdev),Al Abs. Error ( %),Si (%),Si (stdev),Si Abs. Error ( %),P (%),P (stdev),P Abs. Error ( %),S (%),S (stdev),S Abs. Error ( %),Cl (%),Cl (stdev),Cl Abs. Error ( %),K (%),K (stdev),K Abs. Error ( %),Ca (%),Ca (stdev), Ca Abs. Error ( %),Ti (ug/g),Ti (stdev),Ti Abs. Error ( ug/g),V (ug/g),V (stdev),V Abs. Error ( ug/g),Cr (ug/g),Cr (stdev),Cr  Abs. Error ( ug/g),Mn (ug/g),Mn (stdev),Mn  Abs. Error ( ug/g),Fe (%),Fe (stdev),Fe  Abs. Error ( ug/g),Co (ug/g),Co (stdev),Co Abs. Error ( ug/g),Ni (ug/g),Ni (stdev),Ni Abs. Error ( ug/g), Cu (ug/g),Cu (stdev),Cu Abs. Error ( ug/g),Zn (ug/g),Zn (stdev),Zn Abs. Error ( ug/g),As (ug/g),As (stdev),As Abs. Error ( ug/g),Br (ug/g),Br (stdev),Br Abs. Error ( ug/g),Rb (ug/g),Rb (stdev),Rb Abs. Error ( ug/g), Sr (ug/g),Sr (stdev),Sr Abs. Error ( ug/g),Pb (ug/g),Pb (stdev),Pb Abs. Error ( ug/g)
BB WC #1 A1,Loam Mix,2011,BULK,Tqk59304,10/5/2011,6.86,,13.62,,0.31,,0.01,6.34,,0.02,21.95,,0.03,0.22,,0,0.1,,0,0.07,,0,1.36,,0.01,1.63,,0.01,4443,,24,39,,9.8,80.5,,7.3,625,,11,2.75,,0.01,< 24,,-17,24.7,,1.5,33.5,,1.4,105.1,,1.7,7,,0.9,10.3,,0.3,66.7,,0.6,158.2,,0.9,89.1,,1.5
BB WC #1 A2,Loam Mix,2011,BULK,Tqk59304,10/5/2011 0:00,6.79,,16.34,,0.27,,0.01,6.57,,0.02,23.16,,0.03,0.21,,0,0.09,,0,0.06,,0,1.35,,0.01,1.5,,0.01,4198,,23,60,,11,105.7,,7.8,632,,11,2.83,,0.01,25,,6.4,23.2,,1.4,34.2,,1.5,100.1,,1.7,7.7,,1,9.3,,0.3,61.1,,0.6,167.6,,0.9,86.1,,1.5
BB WC #1 A3,Loam Mix,2011,BULK,Tqk59304,40821,7,,14.08,,0.27,0.02,0.01,6.52,0.12,0.02,22.52,0.61,0.03,0.21,0,0,0.09,0.01,0,0.06,0.01,0,1.4,0.03,0.01,1.52,0.07,0.01,4699,250.52,24,36.7,12.84,9.7,97.4,12.84,7.6,648,11.79,11,2.85,0.05,0.01,25.5,0.35,6.5,23.8,0.75,1.5,33.3,0.47,1.4,96.2,4.46,1.7,5.8,0.96,0.9,9.8,0.5,0.3,68.2,3.74,0.6,161.3,4.79,0.9,86.1,1.73,1.5
BB WC #2 A1,Loam Mix,2011,BULK,Tqk59304,40821,8,,24.89,,0.31,,0.01,5.56,,0.02,19.79,,0.02,0.24,,0,0.13,,0,0.04,,0,1.3,,0.01,2.12,,0.01,3890,,21,72,,11,93.5,,7.2,766,,12,2.43,,0.01,32.4,,6.7,21.3,,1.3,38.6,,1.4,135.6,,1.8,7.2,,0.9,8.7,,0.3,53.4,,0.6,172.3,,0.9,93.6,,1.5
BB WC #2 A2,Loam Mix,2011,BULK,Tqk59304,40821,8,,30.6,,0.23,,0.01,4.92,,0.01,17.5,,0.02,0.22,,0,0.13,,0,0.04,,0,1.14,,0.01,2.08,,0.01,3334,,19,37.4,,8.2,74.6,,6.4,655,,11,2.18,,0.01,26.5,,5.8,18.6,,1.2,39,,1.4,139.1,,1.8,6.5,,0.9,9.3,,0.3,50,,0.5,160.6,,0.8,101.7,,1.5
BB WC #2 A3,Loam Mix,2011,BULK,Tqk59304,40821,8,,23.19,,0.28,0.04,0.01,5.35,0.33,0.01,18.82,1.15,0.02,0.23,0.01,0,0.14,0,0,0.04,0,0,1.26,0.08,0.01,2.07,0.03,0.01,3651,278.91,20,48.8,17.63,9.6,82,9.52,6.8,675,59.16,11,2.32,0.13,0.01,25,3.91,5.9,21.5,1.62,1.3,35.8,1.74,1.4,126.6,6.45,1.7,5.2,1.01,0.8,8.5,0.42,0.3,58.7,4.38,0.6,154.8,8.91,0.9,92,5.2,1.4
compread2010-1.1,Loam Mix,2010,BULK,Tqk-5930,40594,8,,47.51,,0.19,,0.01,3.38,,0.01,17.01,,0.02,0.37,,0,0.38,,0,0.13,,0,1.83,,0.01,2.26,,0.01,2056,,15,< 21,,-18,78.4,,6.6,591,,10,1.77,,0,26.9,,5.6,17.6,,1.2,66.9,,1.7,245.5,,2.3,3.3,,0.7,5.8,,0.3,72.7,,0.6,118.5,,0.8,149.1,,1.7
compread2010-1.2,Loam Mix,2010,BULK,Tqk-5930,40594,8,,67.88,,0.08,,0,3.54,,0.01,19.89,,0.02,0.36,,0,0.35,,0,0.12,,0,1.84,,0.01,2.08,,0.01,2264,,16,< 23,,-12,83.5,,6.9,546,,10,1.66,,0,25.1,,5.6,13.7,,1.2,51.8,,1.5,194.6,,2.1,< 3.2,,-2.6,4.4,,0.3,73.4,,0.6,113.6,,0.8,125,,1.6
compread2010-1.3,Loam Mix,2010,BULK,Tqk-5930,40594,7,,24.6,,0.33,0.12,0.01,2.92,0.32,0.01,13.5,3.2,0.02,0.38,0.01,0,0.42,0.03,0,0.15,0.01,0,1.75,0.05,0.01,2.51,0.21,0.01,1958,156.26,14,19.7,#DIV/0!,4.9,75,4.28,6.2,688,72.57,11,1.9,0.12,0,15.9,5.9,4.6,18.1,2.41,1.2,83.8,16.01,1.7,298.1,51.75,2.5,6.4,2.19,1,7.3,1.45,0.3,72.5,0.47,0.6,123.5,4.95,0.8,185.7,30.56,1.9
GT Mill #1 A1,Loam Mix,2011,BULK,Tqk59304,40821,7,,8.81,,< 0.023,,0,4.88,,0.01,23.04,,0.03,0.23,,0,0.12,,0,0.01,,0,1.18,,0.01,1.12,,0.01,2932,,19,< 25,,-13,80.4,,6.7,464.7,,9.6,1.75,,0,< 18,,-15,12.9,,1.2,29.1,,1.2,90,,1.5,3.1,,0.7,5.3,,0.3,49.3,,0.5,84,,0.7,81,,1.3
GT Mill #1 A2,Loam Mix,2011,BULK,Tqk59304,40821,7,,14.43,,< 0.023,,0,5.3,,0.02,23.06,,0.03,0.24,,0,0.12,,0,0.01,,0,1.19,,0.01,1.08,,0.01,3280,,20,< 27,,-16,78.6,,6.8,443.8,,9.5,1.8,,0,< 18,,-15,11.4,,1.2,27.4,,1.2,85.5,,1.5,4.3,,0.7,4.8,,0.3,47.9,,0.5,84,,0.7,67.5,,1.3
GT Mill #1 A3,Loam Mix,2011,BULK,Tqk59304,40821,7,,10.67,,< 0.023,#DIV/0!,0,5.14,0.21,0.02,22.88,0.1,0.03,0.23,0,0,0.12,0,0,0.01,0,0,1.17,0.01,0.01,1.07,0.03,0.01,3360,227.56,20,< 27,#DIV/0!,0,76,2.21,6.8,448.4,10.98,9.5,1.86,0.06,0,17.5,#DIV/0!,5.1,11.4,0.87,1.2,26.3,1.41,1.2,85.1,2.72,1.5,3.1,0.69,0.7,4.7,0.32,0.3,46.7,1.3,0.5,75.7,4.79,0.6,62.8,9.45,1.2
RBR Rox #1 A1,Loam Mix,2011,BULK,Tqk59304,40821,7,,9.9,,< 0.023,,0,5.23,,0.02,22.75,,0.03,0.21,,0,0.12,,0,0.01,,0,1.16,,0.01,1.13,,0.01,3217,,20,< 26,,-7.8,64.2,,6.5,409.5,,9.1,1.71,,0,17.9,,5.1,9.6,,1.1,28,,1.2,80.5,,1.4,3.2,,0.6,4,,0.2,45.7,,0.5,74.5,,0.6,48,,1.1
RBR Rox #1 A2,Loam Mix,2011,BULK,Tqk59304,40821,7,,11.32,,< 0.022,,0,5.1,,0.01,19.29,,0.02,0.19,,0,0.12,,0,0.01,,0,1.06,,0.01,1.33,,0.01,3237,,19,30.4,,7.4,63.8,,6.3,508.4,,9.6,2.09,,0.01,23.3,,5.5,11.6,,1.1,44,,1.4,119.6,,1.7,4.1,,0.7,6.1,,0.3,47.3,,0.5,82.3,,0.6,70.1,,1.3
RBR Rox #1 A3,Loam Mix,2011,BULK,Tqk59304,40821,7,,11.43,,< 0.022,#DIV/0!,0,5.36,0.13,0.02,21.27,1.74,0.03,0.21,0.01,0,0.13,0.01,0,0.01,0,0,1.18,0.06,0.01,1.3,0.11,0.01,3549,186.18,20,< 27,#DIV/0!,-11,74.6,6.12,6.7,480,50.92,9.6,2.09,0.22,0.01,< 19,3.82,-14,11.9,1.25,1.2,36.4,8,1.3,103.8,19.67,1.6,8.8,3.01,0.8,5.7,1.12,0.3,49.9,2.12,0.5,90.7,8.1,0.7,59.1,11.05,1.2
RP Alex #1 A1,Loam Mix,2011,BULK,Tqk59304,40821,8,,22.51,,< 0.022,,0,4.1,,0.01,19.72,,0.02,0.6,,0,0.22,,0,0.01,,0,1.09,,0.01,2.32,,0.01,2820,,18,39.4,,7.9,65.8,,6.3,540,,10,1.62,,0,< 17,,-8.6,12.4,,1.1,27.3,,1.2,102.4,,1.5,3.3,,0.7,5.2,,0.3,49,,0.5,100.2,,0.7,57.3,,1.2
RP Alex #1 A2,Loam Mix,2011,BULK,Tqk59304,40821,8,,18.85,,0.06,,0,4.42,,0.01,18.36,,0.02,0.64,,0,0.25,,0,0.01,,0,1.11,,0.01,2.67,,0.01,3064,,19,29,,7.2,65.5,,6.5,583,,10,1.9,,0,24.2,,5.6,12.8,,1.2,32.1,,1.3,121.3,,1.7,5.2,,0.8,5,,0.3,48.4,,0.5,106.4,,0.7,64,,1.2
RP Alex #1 A3,Loam Mix,2011,BULK,Tqk59304,40821,8,,21.54,,0.02,0.03,0,4.25,0.16,0.01,18.71,0.71,0.02,0.62,0.02,0,0.23,0.01,0,0.01,0,0,1.07,0.02,0.01,2.5,0.17,0.01,2821,140.59,18,< 25,7.35,-9.4,65.9,0.21,6.3,571,22.19,10,1.77,0.14,0,< 18,#DIV/0!,-15,11.9,0.45,1.2,34.7,3.75,1.3,112.1,9.45,1.6,4.7,0.98,0.8,5.6,0.31,0.3,47.3,0.86,0.5,104,3.13,0.7,65.8,4.48,1.2
Whan HC A1,Loam Mix,2011,BULK,Tqk59304,40821,7,,23.23,,< 0.021,,0,4.45,,0.01,18.4,,0.02,0.64,,0,0.18,,0,0,,0,1.01,,0.01,2.62,,0.01,3251,,19,29.4,,7.4,65.6,,6.4,630,,11,1.91,,0,17.5,,5,15.3,,1.2,40.1,,1.4,143.9,,1.8,5.6,,0.8,6.7,,0.3,48.4,,0.5,119.9,,0.8,83.1,,1.4
Wham HC A2,Loam Mix,2011,BULK,Tqk59304,40821,7,,17.61,,0.04,,0,4.11,,0.01,16.81,,0.02,0.59,,0,0.18,,0,0.01,,0,0.96,,0.01,2.45,,0.01,2913,,18,23.6,,6.3,50.6,,5.9,580,,10,1.65,,0,19,,5,10.8,,1.1,36.9,,1.3,119.9,,1.6,6.1,,0.8,6.1,,0.3,49.4,,0.5,111,,0.7,72.4,,1.2
Wham HC A3,Loam Mix,2011,BULK,Tqk59304,40821,7,,14.93,,< 0.021,#DIV/0!,0,4.34,0.17,0.01,17.91,0.81,0.02,0.64,0.03,0,0.2,0.01,0,0.01,0,0,1.01,0.03,0.01,2.61,0.09,0.01,3004,174.9,19,< 25,4.1,-11,70.2,10.25,6.5,551,39.96,10,1.85,0.14,0,< 18,1.06,-5.9,15.3,2.6,1.2,33.4,3.35,1.3,118.3,14.34,1.7,4.5,0.82,0.8,6.1,0.35,0.3,48.3,0.61,0.5,118,4.69,0.8,77.4,5.35,1.3
BH Club #1 A1,Loam Mix,2011,BULK,Tqk59304,40821,7,,11.67,,< 0.021,,0,5.08,,0.01,19.35,,0.02,0.25,,0,0.15,,0,0.03,,0,1.13,,0.01,1.5,,0.01,3121,,19,< 25,,-17,75.6,,6.6,560,,10,2.21,,0.01,< 19,,-9,16.5,,1.2,38.1,,1.4,114.5,,1.7,4.8,,0.8,6.9,,0.3,53,,0.6,94.3,,0.7,92,,1.4
BH Club #1 A2,Loam Mix,2011,BULK,Tqk59304,40821,7,,10.34,,< 0.022,,0,5.19,,0.02,20.14,,0.02,0.25,,0,0.16,,0,0.03,,0,1.12,,0.01,1.48,,0.01,3137,,19,23.3,,6.5,81.9,,6.8,599,,11,2.13,,0.01,< 19,,-13,14.1,,1.2,38.6,,1.4,114.9,,1.7,3.7,,0.7,6.7,,0.3,56.7,,0.6,104.3,,0.7,66.1,,1.3
BH Club #1 A3,Loam Mix,2011,BULK,Tqk59304,40821,7,,13.75,,0.04,#DIV/0!,0,5.35,0.14,0.02,19.83,0.4,0.02,0.25,0,0,0.16,0.01,0,0.03,0,0,1.14,0.01,0.01,1.45,0.02,0.01,3175,27.74,19,38.1,10.47,8.2,79,3.15,6.8,559,22.81,10,2.19,0.04,0.01,19.4,#DIV/0!,5.3,14.4,1.31,1.2,39.2,0.55,1.4,111.7,1.74,1.7,5.8,1.05,0.8,6.6,0.15,0.3,52.8,2.2,0.6,99.6,5,0.7,63.2,15.86,1.2
BH Club #2 A1,Loam Mix,2011,BULK,Tqk59304,40821,7,,14.17,,< 0.022,,0,5.19,,0.02,20.61,,0.03,0.24,,0,0.15,,0,0.02,,0,1.15,,0.01,1.43,,0.01,3069,,19,27.1,,6.9,79.7,,6.7,552,,10,2.09,,0.01,< 19,,-16,14.4,,1.2,34.4,,1.3,106.5,,1.6,5.5,,0.8,6.4,,0.3,53.8,,0.6,104.7,,0.7,60.3,,1.2
BH Club #2 A2,Loam Mix,2011,BULK,Tqk59304,40821,7,,14.72,,< 0.022,,0,5.16,,0.01,21.06,,0.03,0.24,,0,0.15,,0,0.02,,0,1.22,,0.01,1.48,,0.01,2973,,19,< 25,,-20,59,,6.5,539,,10,1.97,,0.01,< 19,,-12,13.9,,1.2,33.2,,1.3,98.3,,1.5,4.8,,0.7,6.2,,0.3,55.4,,0.6,100.4,,0.7,60.6,,1.2
BH Club #2 A2,Loam Mix,2011,BULK,Tqk59304,40821,7,,13.06,,< 0.022,#DIV/0!,0,5.36,0.1,0.02,21.69,0.54,0.03,0.26,0.01,0,0.15,0,0,0.02,0,0,1.25,0.05,0.01,1.47,0.03,0.01,3317,177.51,20,< 27,#DIV/0!,0,84.1,13.4,7,555,8.5,10,2.1,0.07,0.01,< 20,#DIV/0!,-14,14.7,0.4,1.2,34.2,0.64,1.4,97.9,4.85,1.6,5.2,0.35,0.8,6.3,0.1,0.3,56.3,1.27,0.6,107.8,3.72,0.7,60.4,,1.2
BH Club #3 A1,Loam Mix,2011,BULK,Tqk59304,40822,7,,15.02,,< 0.022,,-0.01,5.26,,0.02,20.78,,0.03,0.31,,0,0.18,,0,0.02,,0,1.2,,0.01,1.47,,0.01,3163,,19,< 26,,-20,73.5,,6.8,537,,10,2.25,,0.01,< 20,,-13,14.4,,1.2,37.3,,1.4,103.1,,1.6,5.3,,0.8,5.6,,0.3,52.5,,0.6,110,,0.7,61.6,,1.2
BH Club #3 A2,Loam Mix,2011,BULK,Tqk59304,40822,7,,13.5,,< 0.022,,0,5.13,,0.02,21.07,,0.03,0.3,,0,0.18,,0,0.02,,0,1.18,,0.01,1.46,,0.01,3153,,19,32.8,,7.7,79.1,,6.8,542,,10,2,,0.01,< 18,,-13,12.3,,1.2,38.1,,1.3,99.9,,1.6,5.6,,0.8,5.5,,0.3,51.4,,0.6,96.9,,0.7,79.6,,1.4
BH Club #3 A3,Loam Mix,2011,BULK,Tqk59304,40822,7,,12.55,,< 0.023,#DIV/0!,0,5.19,0.06,0.02,20.81,0.16,0.03,0.32,0.01,0,0.19,0.01,0,0.03,0,0,1.22,0.02,0.01,1.55,0.05,0.01,3124,20.26,19,< 26,#DIV/0!,-9.3,75.9,2.81,6.8,565,14.93,10,2.09,0.13,0.01,18.2,#DIV/0!,5.2,13.7,1.07,1.2,36,1.06,1.3,110.4,5.38,1.7,4.7,0.46,0.7,5.8,0.15,0.3,54.2,1.41,0.6,103.3,6.55,0.7,59.7,10.98,1.2
1A,Commercial Food Sourced,2010,BULK,Tqk59306,40291,7,,50.9,,0.57,,0.01,2,,0.01,10.15,,0.01,1.51,,0,0.5,,0,0.38,,0,1.28,,0.01,6.39,,0.01,1382.67,,12,20.8,,-3.87,47.5,,5.6,537.7,,9.53,1.06,,0,21.17,,4.53,11.33,,1.1,29.43,,1.17,143.6,,1.7,3.65,,0.47,8.63,,0.3,37.27,,0.5,125,,0.7,84.3,,1.3
1B,Commercial Food Sourced,2010,BULK,Tqk59306,40291,,,60.7,,0.53,,0.01,1.17,,0.01,5.6,,0.01,1.21,,0,0.42,,0,0.36,,0,0.9,,0,6.93,,0.01,3218,,18,,,0,44.23,,4.97,408.93,,8,0.7,,0,33.17,,4.13,8.07,,1.1,29.27,,1.1,99.47,,1.4,1.9,,-0.1,7.27,,0.3,24.8,,0.4,102.8,,0.6,43.47,,1
1C,Commercial Food Sourced,2010,BULK,Tqk59306,40291,7,,48.3,,0.44,0.07,0.01,2,0.48,0.01,11.09,2.94,0.01,1.49,0.16,0,0.47,0.04,0,0.38,0.01,0,1.39,0.26,0.01,6.17,0.39,0.01,1172,1125.38,11,16.8,2.83,-3.73,51,3.38,5.7,470.2,64.41,9.03,1,0.19,0,38.73,8.98,5.13,12.37,2.24,1.2,33.43,2.36,1.23,135.27,23.45,1.7,2.6,0.88,0.6,8.3,0.71,0.3,40.93,8.46,0.5,113.17,11.11,0.7,62.73,20.43,1.2
2A,Commercial Food Sourced,2010,BULK,Tqk59306,40291,7,,60.6,,0.55,,0.01,1.46,,0.01,7.59,,0.01,1.36,,0,0.46,,0,0.36,,0,1.07,,0.01,5.99,,0.01,1071.67,,10,,,-4.27,42.97,,4.97,435.23,,8.07,0.8,,0,21.37,,3.9,9.23,,0.93,25.2,,1.03,171.47,,1.7,2.3,,0.57,8.53,,0.3,28.13,,0.4,109.4,,0.6,56.53,,1.03
2B,Commercial Food Sourced,2010,BULK,Tqk59306,40291,,,,,0.64,0.06,0.01,1.84,0.27,0.01,9.08,1.05,0.01,1.65,0.2,0,0.47,0.01,0,0.52,0.11,0,1.15,0.05,0.01,6.62,0.44,0.01,1097,17.91,11,17.25,#DIV/0!,-1.83,45.7,1.93,5.43,504.47,48.96,9.17,0.87,0.05,0,40.43,13.48,4.83,9.57,0.24,1.1,35.3,7.14,1.2,135.43,25.48,1.63,3,0.49,0.6,7.87,0.47,0.3,31.27,2.22,0.4,119.47,7.12,0.7,57.7,0.82,1.1
3A,Commercial Food Sourced,2010,BULK,Tqk59306,40291,7,,45.2,,0.5,,0.01,2.18,,0.01,11.45,,0.02,1.56,,0,0.5,,0,0.34,,0,1.51,,0.01,6.77,,0.01,1211,,12,,,-6.73,46.77,,5.9,515.1,,9.63,0.96,,0,22.17,,4.63,10.1,,1.13,29.73,,1.2,129.47,,1.7,2.2,,-0.73,7.27,,0.3,41.63,,0.5,141.53,,0.8,64.57,,1.2
3B,Commercial Food Sourced,2010,BULK,Tqk59306,40291,,,,,0.27,,0.01,3.12,,0.01,14.16,,0.02,1.21,,0,0.41,,0,0.35,,0,2.04,,0.01,5.05,,0.01,1650,,14,23.4,,-0.17,45.77,,5.97,437.1,,9.13,1.23,,0,71.87,,6.33,10.27,,1.4,20.6,,1.13,112.1,,1.7,3,,0.03,6.1,,0.3,44.03,,0.5,133.27,,0.8,51.23,,1.1
3C,Commercial Food Sourced,2010,BULK,Tqk59306,40291,7,,41.3,,0.42,0.11,0.01,2.6,0.47,0.01,12.97,1.36,0.02,1.59,0.21,0,0.48,0.05,0,0.33,0.01,0,1.71,0.27,0.01,6.49,0.92,0.01,1221.33,250.53,12,,,-3.07,48.6,1.44,6.1,543.67,55.16,10,1.12,0.13,0,35.53,25.72,5.47,9.93,0.17,1.2,29.13,5.11,1.3,136.47,12.55,1.8,3.2,0.53,-0.7,7.43,0.73,0.3,45.87,2.12,0.5,117,12.48,0.7,56.43,6.72,1.2
4C,Commercial Food Sourced,2010,BULK,Tqk59306,40291,7,,49.8,,0.53,,0.01,1.77,,0.01,10.06,,0.01,1.4,,0,0.47,,0,0.34,,0,1.23,,0.01,6.57,,0.01,1138,,11,,,-7.53,43.83,,5.47,557.4,,9.6,0.91,,0,59.2,,5.3,11.3,,1.1,29.5,,1.2,178.33,,1.8,3.17,,0.67,7.83,,0.3,34.07,,0.4,132.2,,0.7,79.43,,1.3
COMPBRICK2011-1.1,Commercial Food Sourced,2011,BULK,Tqk59304,40589,8,,74.83,,0.71,,0.02,1.99,,0.01,8.26,,0.01,2.96,,0.01,0.46,,0,0.01,,0,0.79,,0.01,12.12,,0.02,1586,,15,< 23,,-6.9,63.3,,6.9,762,,13,1.26,,0,< 17,,-8,14.9,,1.2,35.5,,1.5,179.7,,2.1,4,,0.9,5.8,,0.3,39.7,,0.5,172.1,,1,93.4,,1.6
COMPBRICK2011-1.2,Commercial Food Sourced,2011,BULK,Tqk59304,40589,8,,74.54,,0.75,,0.02,2.18,,0.01,9.19,,0.01,3.17,,0.01,0.43,,0,0.01,,0,0.84,,0.01,11.6,,0.02,1903,,16,< 25,,0,59.5,,6.8,718,,13,1.32,,0,20.1,,5.2,12.7,,1.2,29.6,,1.4,154.9,,2,< 3.0,,-2.4,4.8,,0.3,42.8,,0.5,173.5,,1,84.8,,1.5
COMPBRICK2011-1.3,Commercial Food Sourced,2011,BULK,Tqk59304,40589,7,,73.2,,0.76,0.03,0.02,2.15,0.1,0.01,8.78,0.47,0.01,3.23,0.14,0.01,0.42,0.02,0,0.01,0,0,0.82,0.02,0.01,12.02,0.28,0.02,1785,160.22,16,< 24,#DIV/0!,0,62.5,2,6.9,742,22.03,13,1.32,0.04,0,23.9,2.69,5.4,12.9,1.22,1.2,27.3,4.23,1.4,156.7,13.83,2,3.9,0.07,0.8,4.5,0.68,0.3,44.8,2.57,0.6,175.8,1.87,1,82.1,5.9,1.5
Brick End A1,Commercial Food Sourced,2011,BULK,Tqk59304,40849,7,,34.27,,0.71,,0.02,1.82,,0.01,6.96,,0.01,2.53,,0,0.43,,0,0.01,,0,0.72,,0,9.89,,0.02,1234,,12,< 19,,-7.7,47.6,,6.1,728,,12,1.26,,0,< 16,,-7,14.7,,1.2,40,,1.4,172.4,,2,6,,0.9,6.1,,0.3,37.6,,0.5,151.7,,0.9,87.3,,1.4
Brick End A2,Commercial Food Sourced,2011,BULK,Tqk59304,40849,7,,31.64,,0.74,,0.02,1.89,,0.01,7.42,,0.01,2.61,,0,0.45,,0,0.02,,0,0.76,,0.01,10.21,,0.02,1566,,14,< 21,,-9.1,56.4,,6.3,733,,12,1.2,,0,< 16,,-11,17.4,,1.2,40.8,,1.4,166.2,,2,5.5,,0.9,7,,0.3,38.2,,0.5,150.6,,0.9,84.3,,1.5
Brick End A3,Commercial Food Sourced,2011,BULK,Tqk59304,40849,7,,31.87,,0.76,0.03,0.02,1.94,0.06,0.01,7.13,0.24,0.01,2.53,0.05,0,0.46,0.01,0,0.01,0.01,0,0.72,0.02,0,10.13,0.17,0.02,1319,172.46,13,< 20,#DIV/0!,0,55.1,4.75,6.2,707,13.8,12,1.25,0.03,0,< 16,#DIV/0!,-10,14.3,1.69,1.2,39.6,0.61,1.4,170.9,3.23,2,5.2,0.4,0.9,6.2,0.49,0.3,37.3,0.46,0.5,149.6,1.05,0.9,86.8,1.61,1.4
Brick WC Comp #1 A1,Commercial Food Sourced,2011,BULK,Tqk59304,40821,7,,45.05,,0.69,,0.02,1.69,,0.01,7.26,,0.01,1.42,,0,0.45,,0,0.41,,0,1.19,,0.01,5.02,,0.01,1214,,11,< 16,,0,50.7,,5.3,609.6,,9.5,1.06,,0,11.9,,3.6,12.1,,0.9,47.1,,1.3,180.8,,1.8,4.7,,0.7,11.7,,0.3,35.4,,0.4,127.7,,0.7,81.4,,1.2
Brick WC Comp #1 A2,Commercial Food Sourced,2011,BULK,Tqk59304,40821,7,,43.26,,0.72,,0.02,1.76,,0.01,7.22,,0.01,1.53,,0,0.47,,0,0.44,,0,1.25,,0.01,5.45,,0.01,1294,,12,< 17,,-3.5,47.6,,5.3,664.8,,9.9,1.09,,0,12.2,,3.7,11.6,,1,53.8,,1.4,182.8,,1.8,4.3,,0.7,12.3,,0.3,34.1,,0.4,134.4,,0.7,81.1,,1.3
Brick WC Comp #1 A3,Commercial Food Sourced,2011,BULK,Tqk59304,40821,7,,44.12,,0.72,0.02,0.02,1.75,0.04,0.01,7,0.14,0.01,1.38,0.08,0,0.46,0.01,0,0.43,0.01,0,1.22,0.03,0.01,4.87,0.3,0.01,1180,58.53,11,< 16,#DIV/0!,0,44.9,2.9,5.2,623.4,28.73,9.6,1.05,0.02,0,13.7,0.96,3.8,10.1,1.04,0.9,53.3,3.73,1.4,177.8,2.52,1.8,3.8,0.45,0.7,11.6,0.38,0.3,38,1.99,0.5,130.9,3.35,0.7,85.1,2.23,1.3
Brick WC Comp #2 A1,Commercial Food Sourced,2011,BULK,Tqk59304,40821,7,,43.81,,0.67,,0.02,1.87,,0.01,8.14,,0.01,1.36,,0,0.47,,0,0.44,,0,1.32,,0.01,4.93,,0.01,1404,,12,< 18,,-8.1,63.2,,5.8,667,,10,1.18,,0,13.4,,4,11.5,,1,45.5,,1.3,170.2,,1.8,3.3,,0.7,10.4,,0.3,41.9,,0.5,149.9,,0.8,73.9,,1.2
Brick WC Comp #2 A2,Commercial Food Sourced,2011,BULK,Tqk59304,40821,7,,54.91,,0.7,,0.02,1.8,,0.01,7.94,,0.01,1.37,,0,0.47,,0,0.46,,0,1.27,,0.01,4.87,,0.01,1268,,12,< 17,,0,40.7,,5.3,649,,10,1.13,,0,14.4,,4,12.1,,1,44.8,,1.3,171.6,,1.8,4.9,,0.7,11.1,,0.3,40.3,,0.5,138.2,,0.8,73.1,,1.2
Brick WC Comp #2 A3,Commercial Food Sourced,2011,BULK,Tqk59304,40821,7,,38.37,,0.7,0.02,0.02,1.98,0.09,0.01,8.79,0.44,0.01,1.5,0.08,0,0.47,0,0,0.44,0.01,0,1.32,0.03,0.01,5.19,0.17,0.01,1462,99.58,13,< 18,#DIV/0!,0,41.3,12.82,5.5,652,9.64,10,1.17,0.02,0,< 14,0.71,-7.8,12.7,0.6,1,43.1,1.23,1.3,168.9,1.35,1.8,4.2,0.8,0.7,10.6,0.36,0.3,40.1,0.99,0.5,137.6,6.93,0.8,80.3,3.95,1.3
